,precision,recall,f1-score,support
basophil,1.0,0.9959016393442623,0.997946611909651,244.0
eosinophil,1.0,1.0,1.0,623.0
erythroblast,1.0,0.9870967741935484,0.9935064935064936,310.0
ig,0.9774696707105719,0.9740932642487047,0.9757785467128027,579.0
lymphocyte,0.9759036144578314,1.0,0.9878048780487805,243.0
monocyte,0.9928057553956835,0.971830985915493,0.9822064056939501,284.0
neutrophil,0.9806835066864784,0.990990990990991,0.9858103061986557,666.0
platelet,0.997872340425532,0.997872340425532,0.997872340425532,470.0
accuracy,0.9897630886224043,0.9897630886224043,0.9897630886224043,0.9897630886224043
macro avg,0.9905918609595121,0.9897232493898165,0.9901156978119832,3419.0
weighted avg,0.9898191189354324,0.9897630886224043,0.9897615189678036,3419.0
